name
ADR
B
BFC
BFI
BKPT
BX
BXJ
CBNZ
CBZ
CDP
CDP2
CHKA
CLREX
CLZ
CPS
CPY
DBG
DMB
DSB
ENTERX
HB
HBL
HBLP
HBP
ISB
IT
LDM / LDMIA / LDMFD
LDMDA / LDMFA
LDMDB / LDMEA
LDMIB / LDMED
LDRBT
LDREX
LDREXB
LDREXD
LDREXH
LDRHT
LDRSBT
LDRSHT
LDRT
LEAVEX
MCR
MCR2
MCRR
MCRR2
MLA
MLS
MOVT
MRC
MRC2
MRRC
MRRC2
MRS
MUL
NEG
NOP
PKH
POP
PUSH
QADD
QADD16
QADD8
QASX
QDADD
QDSUB
QSAX
QSUB
QSUB16
QSUB8
RBIT
REV
REV16
REVSH
RFE
RRX
SADD16
SADD8
SASX
SBFX
SDIV
SEL
SETEND
SEV
SHADD16
SHADD8
SHASX
SHSAX
SHSUB16
SHSUB8
SMLABB
SMLABT
SMLAD
SMLAL
SMLALBB
SMLALBT
SMLALD
SMLALTB
SMLALTT
SMLATB
SMLATT
SMLAWB
SMLAWT
SMLSD
SMLSLD
SMMLA
SMMLS
SMMUL
SMUAD
SMULBB
SMULBT
SMULL
SMULTB
SMULTT
SMULWB
SMULWT
SMUSD
SRS
SSAT
SSAT16
SSAX
SSUB16
SSUB8
STC
STC2
STM / STMIA / STMEA
STMDA / STMED
STMDB / STMFD
STMIB / STMFA
STRBT
STREX
STREXB
STREXD
STREXH
STRHT
STRT
SWP
SWPB
SXTAB
SXTAB16
SXTAH
SXTB
SXTB16
SXTH
TBB
TBH
UADD16
UADD8
UASX
UBFX
UDIV
UHADD16
UHADD8
UHASX
UHSAX
UHSUB16
UHSUB8
UMAAL
UMLAL
UMULL
UQADD16
UQADD8
UQASX
UQSAX
UQSUB16
UQSUB8
USAD8
USADA8
USAT
USAT16
USAX
USUB16
USUB8
UXTAB
UXTAB16
UXTAH
UXTB
UXTB16
UXTH
VABA
VABAL
VABS
VACGE
VACGT
VACLE
VACLT
VADDHN
VADDL
VADDW
VBIF
VBIT
VBSL
VCLS
VCLZ
VCMP
VCMPE
VCNT
VDIV
VEOR
VEXT
VHADD
VHSUB
VLDM
VLDR
VMOVL
VMOVN
VMRS
VMSR
VNEG
VNMLA
VNMLS
VNMUL
VPADAL
VPADDL
VPOP
VPUSH
VQABS
VQADD
VQDMLAL
VQDMLSL
VQDMULH
VQDMULL
VQMOVN
VQMOVUN
VQNEG
VQRDMULH
VQRSHL
VQRSHRN
VQRSHRUN
VQSHRN
VQSHRUN
VQSUB
VRADDHN
VRECPE
VRECPS
VREV16
VREV32
VREV64
VRHADD
VRSHL
VRSHR
VRSHRN
VRSQRTE
VRSQRTS
VRSRA
VRSUBHN
VSHLL
VSHR
VSHRN
VSLI
VSQRT
VSRA
VSRI
VSTM
VSTR
VSUBHN
VSUBL
VSUBW
VSWP
VTBL
VTBX
VTRN
VTST
VUZP
VZIP
WFE
WFI
YIELD
